Abundant Shrine,Vulpix,47,Chimecho,47,Cottonee,48,Chimecho,49,Stantler,48,Noctowl,48,Murkrow,48,Bronzong,48,Noctowl,50,Bronzong,50,Noctowl,50,Bronzong,50
Celestial Tower (2F),Litwick,26,Litwick,26,Litwick,27,Litwick,27,Litwick,28,Litwick,28,Litwick,28,Litwick,28,Litwick,29,Litwick,29,Litwick,29,Litwick,29
Celestial Tower (3F),Litwick,26,Litwick,26,Litwick,27,Litwick,27,Litwick,28,Elgyem,26,Litwick,28,Litwick,28,Litwick,29,Elgyem,27,Litwick,29,Elgyem,28
Celestial Tower (4F),Litwick,26,Litwick,27,Litwick,26,Elgyem,26,Litwick,28,Elgyem,27,Litwick,28,Elgyem,28,Litwick,29,Elgyem,29,Litwick,29,Elgyem,29
Celestial Tower (5F),Litwick,26,Elgyem,26,Litwick,27,Elgyem,27,Litwick,28,Elgyem,28,Litwick,28,Elgyem,28,Litwick,29,Elgyem,29,Litwick,29,Elgyem,29
Challenger's Cave (1F),Boldore,48,Woobat,47,Graveler,47,Graveler,49,Sableye,49,Lickitung,49,Mawile,49,Lickitung,50,Mawile,49,Lickitung,50,Mawile,49,Lickitung,49
Challenger's Cave (B1F),Boldore,48,Woobat,47,Graveler,47,Graveler,49,Sableye,49,Lickitung,49,Mawile,49,Lickitung,50,Mawile,49,Riolu,50,Mawile,49,Riolu,49
Challenger's Cave (B2F),Boldore,48,Woobat,47,Graveler,47,Graveler,49,Sableye,49,Lickitung,49,Mawile,49,Riolu,50,Mawile,49,Riolu,50,Mawile,49,Riolu,49
Chargestone Cave (1F),Joltik,24,Klink,25,Joltik,25,Boldore,24,Ferroseed,24,Ferroseed,25,Joltik,26,Klink,26,Joltik,27,Klink,27,Tynamo,27,Tynamo,27
Chargestone Cave (B1F),Joltik,24,Klink,25,Joltik,25,Boldore,24,Ferroseed,25,Ferroseed,26,Joltik,26,Klink,26,Joltik,27,Klink,27,Tynamo,27,Tynamo,27
Chargestone Cave (B2F),Joltik,24,Klink,25,Joltik,25,Boldore,24,Ferroseed,26,Ferroseed,27,Joltik,26,Klink,26,Tynamo,27,Tynamo,27,Joltik,27,Klink,27
Cold Storage,Herdier,21,Minccino,20,Herdier,22,Timburr,21,Vanillite,20,Vanillite,21,Timburr,22,Vanillite,22,Herdier,23,Vanillite,23,Herdier,23,Vanillite,23
Desert Resort,Sandile,19,Darumaka,19,Sandile,20,Darumaka,20,Maractus,20,Sigilyph,20,Sandile,21,Dwebble,20,Sandile,22,Dwebble,22,Sandile,22,Dwebble,22
Desert Resort (Entrance),Sandile,19,Darumaka,19,Sandile,20,Darumaka,20,Maractus,20,Scraggy,20,Sandile,21,Dwebble,20,Sandile,22,Dwebble,22,Sandile,22,Dwebble,22
Dragonspiral Tower (1F),Golett,30,Mienfoo,33,Golett,31,Druddigon,30,Golett,32,Druddigon,31,Golett,32,Druddigon,32,Golett,33,Druddigon,33,Golett,33,Druddigon,33
Dragonspiral Tower (2F),Golett,30,Golett,30,Golett,31,Golett,31,Golett,32,Golett,32,Golett,32,Golett,32,Golett,33,Golett,33,Golett,33,Golett,33
Dragonspiral Tower (Not Winter),Tranquill,30,Deerling,31,Mienfoo,30,Deerling,32,Mienfoo,31,Tranquill,32,Mienfoo,32,Druddigon,31,Mienfoo,33,Druddigon,32,Mienfoo,33,Druddigon,33
Dragonspiral Tower (Winter),Vanillite,31,Deerling,30,Mienfoo,30,Deerling,32,Mienfoo,31,Cubchoo,33,Mienfoo,32,Vanillite,31,Mienfoo,33,Vanillite,32,Mienfoo,33,Vanillite,33
Dreamyard,Patrat,8,Purrloin,8,Patrat,9,Purrloin,9,Munna,8,Munna,10,Patrat,10,Purrloin,10,Patrat,11,Purrloin,11,Patrat,11,Purrloin,11
Giant Chasm (Inner Cave),Golbat,57,Piloswine,57,Sneasel,58,Delibird,58,Lunatone,60,Solrock,60,Boldore,59,Jynx,58,Piloswine,59,Jynx,60,Piloswine,59,Jynx,60
Giant Chasm (Outer Cave),Golbat,47,Piloswine,47,Sneasel,48,Delibird,48,Lunatone,50,Solrock,50,Boldore,49,Jynx,48,Piloswine,49,Jynx,50,Piloswine,49,Jynx,50
Giant Chasm (Outside),Tangela,47,Swellow,47,Golbat,48,Lunatone,48,Solrock,48,Drifblim,49,Absol,48,Absol,50,Tangela,49,Golbat,50,Tangela,49,Golbat,50
Giant Chasm (Plains),Clefairy,52,Piloswine,52,Clefairy,54,Ditto,53,Lunatone,55,Solrock,55,Ditto,55,Metang,53,Piloswine,54,Metang,55,Piloswine,54,Metang,55
Icirrus City (Not Winter),Palpitoad,30,Shelmet,30,Palpitoad,31,Shelmet,31,Stunfisk,31,Stunfisk,32,Palpitoad,32,Shelmet,32,Palpitoad,33,Shelmet,33,Palpitoad,33,Shelmet,33
Lostlorn Forest,Cottonee,19,Swadloon,20,Cottonee,20,Swadloon,21,Tranquill,21,Venipede,20,Tranquill,22,Venipede,21,Cottonee,21,Swadloon,22,Cottonee,22,Swadloon,22
Mistralton Cave,Boldore,28,Woobat,28,Boldore,29,Woobat,30,Boldore,30,Axew,30,Boldore,30,Axew,31,Boldore,31,Axew,31,Boldore,31,Axew,31
Moor of Icirrus (Not Winter),Palpitoad,30,Shelmet,30,Palpitoad,31,Shelmet,31,Stunfisk,31,Stunfisk,32,Palpitoad,32,Shelmet,32,Palpitoad,33,Shelmet,33,Palpitoad,33,Shelmet,33
P2 Laboratory,Watchog,28,Herdier,28,Watchog,29,Herdier,29,Klink,29,Scraggy,29,Watchog,30,Herdier,30,Klink,31,Scraggy,31,Watchog,31,Herdier,31
Pinwheel Forest (Exterior),Tympole,12,Pidove,12,Tympole,13,Pidove,13,Timburr,13,Timburr,14,Tympole,14,Sawk,12,Tympole,15,Sawk,15,Tympole,15,Sawk,15
Pinwheel Forest (Interior),Cottonee,14,Sewaddle,14,Cottonee,15,Sewaddle,15,Pidove,15,Venipede,15,Pidove,16,Venipede,16,Cottonee,16,Sewaddle,16,Cottonee,17,Sewaddle,17
Relic Castle (1F-B1F),Sandile,19,Yamask,19,Sandile,20,Yamask,20,Sandile,21,Yamask,21,Sandile,21,Yamask,21,Sandile,22,Yamask,22,Sandile,22,Yamask,22
Relic Castle (B2F-B5F),Krokorok,34,Cofagrigus,34,Krokorok,35,Cofagrigus,35,Krokorok,36,Cofagrigus,36,Krokorok,36,Cofagrigus,36,Krokorok,37,Cofagrigus,37,Krokorok,37,Cofagrigus,37
Relic Castle (B6F),Krokorok,47,Sandslash,47,Cofagrigus,48,Onix,48,Krokorok,48,Sandslash,49,Cofagrigus,49,Onix,49,Krokorok,49,Cofagrigus,50,Krokorok,50,Cofagrigus,50
Route 1,Patrat,2,Lillipup,2,Patrat,3,Lillipup,3,Patrat,4,Lillipup,4,Patrat,4,Lillipup,4,Patrat,4,Lillipup,4,Patrat,4,Lillipup,4
Route 2,Patrat,4,Lillipup,4,Patrat,5,Lillipup,5,Purrloin,4,Purrloin,5,Patrat,6,Lillipup,6,Patrat,7,Lillipup,7,Patrat,7,Lillipup,7
Route 3,Patrat,8,Pidove,8,Blitzle,8,Pidove,9,Lillipup,9,Purrloin,9,Blitzle,9,Pidove,10,Blitzle,10,Pidove,11,Blitzle,11,Pidove,11
Route 4,Sandile,15,Darumaka,15,Sandile,16,Darumaka,16,Scraggy,16,Scraggy,17,Sandile,17,Darumaka,17,Sandile,18,Darumaka,18,Sandile,18,Darumaka,18
Route 5,Gothita,19,Minccino,19,Trubbish,19,Trubbish,21,Liepard,20,Liepard,22,Minccino,20,Gothita,20,Minccino,21,Gothita,21,Minccino,22,Gothita,22
Route 6 (Not Winter),Deerling,22,Karrablast,22,Tranquill,23,Foongus,23,Deerling,23,Swadloon,23,Deerling,24,Karrablast,24,Tranquill,25,Foongus,25,Tranquill,25,Foongus,25
Route 6 (Winter),Deerling,22,Karrablast,22,Vanillite,23,Foongus,23,Deerling,23,Swadloon,23,Deerling,24,Karrablast,24,Vanillite,25,Foongus,25,Vanillite,25,Foongus,25
Route 7 (Not Winter),Tranquill,26,Deerling,26,Watchog,27,Zebstrika,27,Tranquill,28,Zebstrika,29,Watchog,28,Foongus,27,Watchog,29,Foongus,29,Watchog,29,Foongus,29
Route 7 (Winter),Cubchoo,26,Deerling,26,Watchog,27,Zebstrika,27,Cubchoo,28,Zebstrika,29,Watchog,28,Foongus,27,Watchog,29,Foongus,29,Watchog,29,Foongus,29
Route 8,Palpitoad,30,Shelmet,30,Palpitoad,31,Shelmet,31,Stunfisk,31,Stunfisk,32,Palpitoad,32,Shelmet,32,Palpitoad,33,Shelmet,33,Palpitoad,33,Shelmet,33
Route 9,Gothorita,31,Minccino,32,Garbodor,31,Garbodor,33,Pawniard,31,Liepard,33,Pawniard,32,Gothorita,32,Pawniard,33,Gothorita,33,Pawniard,34,Gothorita,34
Route 10,Herdier,33,Vullaby,34,Herdier,34,Vullaby,36,Bouffalant,34,Bouffalant,35,Foongus,34,Sawk,33,Foongus,34,Sawk,36,Foongus,35,Sawk,36
Route 11,Vullaby,48,Golduck,47,Gligar,47,Amoonguss,48,Zangoose,48,Seviper,48, Karrablast,49,Pawniard,50,Gligar,50,Vullaby,50,Gligar,50,Vullaby,50
Route 12,Combee,47,Sunkern,47,Rapidash,49,Tranquill,48,Cherrim,48,Kakuna,48,Heracross,50,Pinsir,50,Dunsparce,48,Tranquill,50,Dunsparce,48,Tranquill,50
Route 13,Tangela,47,Swellow,47,Golbat,48,Lunatone,48,Solrock,48,Drifblim,49,Absol,48,Absol,50,Tangela,49,Golbat,50,Tangela,49,Golbat,50
Route 14,Golduck,47,Jigglypuff,48,Tropius,48,Mienfoo,49,Altaria,49,Drifblim,49,Shuckle,49,Beheeyem,48,Tropius,50,Beheeyem,50,Tropius,50,Beheeyem,50
Route 15,Marowak,47,Fearow,48,Gligar,47,Kangaskhan,49,Fearow,50,Sawk,48,Pupitar,48,Sawk,49,Pupitar,50,Gligar,49,Pupitar,50,Gligar,49
Route 16,Gothita,19,Minccino,19,Trubbish,19,Trubbish,21,Liepard,20,Liepard,22,Minccino,20,Gothita,20,Minccino,21,Gothita,21,Minccino,22,Gothita,22
Route 18,Scraggy,28,Dwebble,30,Watchog,28,Dwebble,31,Scraggy,29,Watchog,30,Scraggy,30,Sawk,29,Scraggy,31,Sawk,31,Scraggy,31,Sawk,31
Twist Mountain (Autumn),Boldore,28,Gurdurr,28,Boldore,29,Gurdurr,30,Boldore,30,Cubchoo,28,Boldore,30,Woobat,29,Boldore,31,Woobat,30,Cryogonal,31,Woobat,31
Twist Mountain (Spring),Boldore,28,Gurdurr,28,Boldore,29,Gurdurr,30,Boldore,30,Cubchoo,28,Boldore,30,Woobat,29,Boldore,31,Woobat,30,Cryogonal,31,Woobat,31
Twist Mountain (Summer),Boldore,28,Gurdurr,28,Boldore,29,Gurdurr,30,Boldore,30,Woobat,28,Boldore,31,Woobat,29,Cubchoo,28,Woobat,30,Cryogonal,28,Woobat,31
Twist Mountain (Winter),Cubchoo,28,Boldore,29,Gurdurr,29,Cubchoo,29,Boldore,30,Cubchoo,30,Cubchoo,31,Woobat,28,Cryogonal,31,Woobat,29,Cryogonal,31,Woobat,30
Victory Road (1F),Durant,37,Boldore,39,Durant,38,Deino,38,Woobat,37,Mienfoo,39,Durant,39,Deino,38,Durant,40,Deino,39,Durant,40,Deino,40
Victory Road (2Fa),Durant,37,Boldore,37,Durant,38,Boldore,39,Woobat,37,Mienfoo,39,Durant,39,Woobat,38,Durant,40,Woobat,39,Durant,40,Woobat,40
Victory Road (2Fb),Durant,39,Boldore,39,Durant,40,Boldore,41,Woobat,39,Mienfoo,41,Durant,41,Woobat,40,Durant,42,Woobat,42,Durant,42,Woobat,42
