ABANDONED SHIP,TENTACOOL,25-30,TENTACOOL,30-35,TENTACRUEL,30-35,TENTACRUEL,25-30,TENTACRUEL,20-25
ABANDONED SHIP,TENTACOOL,25-30,TENTACOOL,30-35,TENTACRUEL,30-35,TENTACRUEL,25-30,TENTACRUEL,20-25
EVER GRANDE CITY,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
FORTREE CITY,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
LITTLEROOT TOWN,CORPHISH,25-30,CORPHISH,30-35,CORPHISH,20-25,CORPHISH,35-40,CORPHISH,40-45
METEOR FALLS,BARBOACH,25-30,BARBOACH,30-35,BARBOACH,20-25,BARBOACH,35-40,BARBOACH,40-45
METEOR FALLS,BARBOACH,25-30,BARBOACH,30-35,WHISCASH,30-35,WHISCASH,35-40,WHISCASH,40-45
METEOR FALLS,BARBOACH,25-30,BARBOACH,30-35,WHISCASH,30-35,WHISCASH,35-40,WHISCASH,40-45
METEOR FALLS,BARBOACH,25-30,BARBOACH,30-35,WHISCASH,30-35,WHISCASH,35-40,WHISCASH,40-45
OLDALE TOWN,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
PACIFIDLOG TOWN,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
PETALBURG CITY,MAGIKARP,30-35,MAGIKARP,30-35,GYARADOS,35-40,GYARADOS,35-45,GYARADOS,40-45
ROUTE 102,CORPHISH,25-30,CORPHISH,30-35,CORPHISH,20-25,CORPHISH,35-40,CORPHISH,40-45
ROUTE 103,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 104,MAGIKARP,25-30,MAGIKARP,30-35,MAGIKARP,20-25,MAGIKARP,35-40,MAGIKARP,40-45
ROUTE 105,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 106,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 107,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 108,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 109,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 110,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
